Top 10 in network Sringdb.csv ranked by Degree method
Rank,Name,Score
1,MMP9,26.0
1,BCL2,26.0
3,ESR1,24.0
4,SRC,23.0
4,PTGS2,23.0
6,KDR,18.0
6,MTOR,18.0
8,MMP2,16.0
9,GSK3B,15.0
9,PIK3CA,15.0
