"name","selected","shared name"
"SRC","false","SRC"
"MET","false","MET"
"PTGS2","false","PTGS2"
"MMP2","false","MMP2"
"MTOR","false","MTOR"
"KDR","false","KDR"
"BCL2","false","BCL2"
"MMP9","false","MMP9"
"KIT","false","KIT"
"ESR1","false","ESR1"
