"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Islet amyloid polypeptide","IAPP","P10997","CHEMBL1914266","Secreted protein","0.21383494645037035","4 /  8   "
"Histone deacetylase 4","HDAC4","P56524","CHEMBL3524","Eraser","0.2121628637241851","20 /  25   "
"GABA-A receptor; alpha-1/beta-2/gamma-2","N/A","P14867&P47870&P18507","CHEMBL2095172","Ligand-gated ion channel","0.21077109181034673","15 /  4   "
"Kappa-type opioid receptor","OPRK1","P41145","CHEMBL237","Family A G protein-coupled receptor","0.2083481491954588","1511 /  341   "
"Estrogen-related receptor gamma","ESRRG","P62508","CHEMBL4245","Nuclear receptor","0.20709170213831718","165 /  57   "
"Monoglyceride lipase","MGLL","Q99685","CHEMBL4191","Hydrolase","0.20662134017776082","138 /  45   "
"Carbonic anhydrase 2","CA2","P00918","CHEMBL205","Lyase","0.19824483073504812","442 /  93   "
"Amine oxidase [flavin-containing] B","MAOB","P27338","CHEMBL2039","Oxidoreductase","0.19498604645441073","523 /  190   "
"Thyroid hormone receptor beta","THRB","P10828","CHEMBL1947","Nuclear receptor","0.17578255283541305","220 /  62   "
"N-arachidonyl glycine receptor","GPR18","Q14330","CHEMBL2384898","Family A G protein-coupled receptor","0.17277779031652404","3 /  1   "
"Tyrosine-protein phosphatase non-receptor type 1","PTPN1","P18031","CHEMBL335","Phosphatase","0.17239391908820345","409 /  43   "
"Nuclear receptor ROR-gamma","RORC","P51449","CHEMBL1741186","Nuclear receptor","0.17191089609035565","97 /  7   "
"Histone deacetylase 6","HDAC6","Q9UBN7","CHEMBL1865","Eraser","0.1620938276419102","246 /  30   "
"Delta-type opioid receptor","OPRD1","P41143","CHEMBL236","Family A G protein-coupled receptor","0.1562706741848086","1681 /  359   "
"Mu-type opioid receptor","OPRM1","P35372","CHEMBL233","Family A G protein-coupled receptor","0.1562706741848086","1602 /  500   "
"Cytochrome P450 1A2","CYP1A2","P05177","CHEMBL3356","Cytochrome P450","0.15616543213367523","8 /  4   "
"Prostaglandin G/H synthase 1","PTGS1","P23219","CHEMBL221","Oxidoreductase","0.15323331519878156","99 /  56   "
"5-hydroxytryptamine receptor 6","HTR6","P50406","CHEMBL3371","Family A G protein-coupled receptor","0.15236934023217769","91 /  12   "
"Peroxisome proliferator-activated receptor alpha","PPARA","Q07869","CHEMBL239","Nuclear receptor","0.15072473814158507","76 /  100   "
"Bile acid receptor","NR1H4","Q96RI1","CHEMBL2047","Nuclear receptor","0.14627598460324606","117 /  18   "
"Macrophage migration inhibitory factor","MIF","P14174","CHEMBL2085","Enzyme","0.1434930480957797","119 /  18   "
"Lysine--tRNA ligase","KARS1","Q15046","CHEMBL5575","Enzyme","0.1422091755265513","3 /  8   "
"Prostaglandin E synthase","PTGES","O14684","CHEMBL5658","Isomerase","0.14116795607666163","94 /  36   "
"Nuclear receptor subfamily 1 group I member 3","NR1I3","Q14994","CHEMBL5503","Nuclear receptor","0.1406816071837646","1 /  1   "
"Solute carrier family 22 member 2","SLC22A2","O15244","CHEMBL1743122","Electrochemical transporter","0.1406816071837646","28 /  1   "
"Progesterone receptor","PGR","P06401","CHEMBL208","Nuclear receptor","0.14032086174914948","96 /  44   "
"Voltage-gated inwardly rectifying potassium channel KCNH2","KCNH2","Q12809","CHEMBL240","Voltage-gated ion channel","0.1401873688976351","159 /  129   "
"UDP-glucuronosyltransferase 2B7","UGT2B7","P16662","CHEMBL4370","Transferase","0.13937984358343225","2 /  2   "
"Sphingosine 1-phosphate receptor 1","S1PR1","P21453","CHEMBL4333","Family A G protein-coupled receptor","0.13631034352991858","361 /  73   "
"5-hydroxytryptamine receptor 2A","HTR2A","P28223","CHEMBL224","Family A G protein-coupled receptor","0.1328899668382435","190 /  122   "
"Kinesin-like protein KIF11","KIF11","P52732","CHEMBL4581","Other cytosolic protein","0.13284900954976958","117 /  38   "
"Cytochrome P450 11B2, mitochondrial","CYP11B2","P19099","CHEMBL2722","Cytochrome P450","0.13056306741575738","54 /  3   "
"Carbonic anhydrase 1","CA1","P00915","CHEMBL261","Lyase","0.13013148763130267","387 /  74   "
"Lysine-specific histone demethylase 1A","KDM1A","O60341","CHEMBL6136","Eraser","0.11951593500744206","147 /  207   "
"Sigma non-opioid intracellular receptor 1","SIGMAR1","Q99720","CHEMBL287","Membrane receptor","0.11130589654012042","211 /  447   "
"G-protein coupled receptor 55","GPR55","Q9Y2T6","CHEMBL1075322","Family A G protein-coupled receptor","0.11108009750802866","11 /  3   "
"Cystathionine beta-synthase","CBS","P35520","CHEMBL3399911","Enzyme","0.105774869507537","2 /  2   "
