name,selected,shared name
SRC,FALSE,SRC
MET,FALSE,MET
PTGS2,FALSE,PTGS2
MMP2,FALSE,MMP2
MTOR,FALSE,MTOR
KDR,FALSE,KDR
BCL2,FALSE,BCL2
MMP9,FALSE,MMP9
KIT,FALSE,KIT
ESR1,FALSE,ESR1
